name,category,description,coordinates,address,opening_hours

东区田径场,运动场地,用于田径运动及相关体育活动开展，配备跑道、田径设施,"{""lat"": 23.5700, ""lng"": 113.7700}",校园东区,6:00-22:00 
东区体育馆,体育场馆,可进行多种体育赛事、体育课程教学及体育锻炼，有相应体育设施设备,"{""lat"": 23.5690, ""lng"": 113.7690}",校园东区,根据体育活动安排开放，一般6:00-22:00 
东区食堂,食堂,为校园东区师生提供餐饮服务，有多种菜品选择，满足日常用餐需求,"{""lat"": 23.5680, ""lng"": 113.7680}",校园东区,6:30-20:30 
东学楼18号,宿舍,供学生住宿，配有基本生活设施，23点门禁、早六点半开门，保障学生居住生活,"{""lat"": 23.5670, ""lng"": 113.7670}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼17号,宿舍,学生住宿场所，具备住宿基本条件，23点门禁、早六点半开门，方便学生日常生活,"{""lat"": 23.5665, ""lng"": 113.7665}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼16号,宿舍,为学生提供住宿空间，满足学生住宿需求，23点门禁、早六点半开门，有相应生活配套,"{""lat"": 23.5660, ""lng"": 113.7660}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼15号,宿舍,学生居住的宿舍楼，提供住宿床位及基本生活设施，23点门禁、早六点半开门,"{""lat"": 23.5655, ""lng"": 113.7655}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼14号,宿舍,用于学生住宿，内部有合理住宿布局与生活设施，23点门禁、早六点半开门,"{""lat"": 23.5650, ""lng"": 113.7650}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼13号,宿舍,学生住宿区域，保障学生在校居住生活，设施完善，23点门禁、早六点半开门,"{""lat"": 23.5645, ""lng"": 113.7645}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼12号,宿舍,供学生住宿，具备住宿所需的床铺、储物等设施，23点门禁、早六点半开门,"{""lat"": 23.5640, ""lng"": 113.7640}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼19号,宿舍,学生宿舍楼，为学生提供住宿环境，满足居住需求，23点门禁、早六点半开门,"{""lat"": 23.5635, ""lng"": 113.7635}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼20号,宿舍,学生住宿场所，有基本生活设施，方便学生日常起居，23点门禁、早六点半开门,"{""lat"": 23.5630, ""lng"": 113.7630}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼21号,宿舍,用于学生住宿，内部布局合理，生活设施齐全，23点门禁、早六点半开门,"{""lat"": 23.5625, ""lng"": 113.7625}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼22号,宿舍,学生居住的宿舍楼，提供住宿床位与生活配套设施，23点门禁、早六点半开门,"{""lat"": 23.5620, ""lng"": 113.7620}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼23号,宿舍,为学生提供住宿空间，满足住宿需求，设施完备，23点门禁、早六点半开门,"{""lat"": 23.5615, ""lng"": 113.7615}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼24号,宿舍,学生住宿区域，保障学生在校居住，有基本生活设施，23点门禁、早六点半开门,"{""lat"": 23.5610, ""lng"": 113.7610}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼25号,宿舍,学生宿舍楼，具备住宿所需设施，方便学生生活，23点门禁、早六点半开门,"{""lat"": 23.5605, ""lng"": 113.7605}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼26号,宿舍,供学生住宿，有合理的住宿布局和生活设施配置，23点门禁、早六点半开门,"{""lat"": 23.5600, ""lng"": 113.7600}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼27号,宿舍,学生住宿场所，提供住宿床位及基本生活条件，23点门禁、早六点半开门,"{""lat"": 23.5595, ""lng"": 113.7595}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼28号,宿舍,用于学生住宿，内部生活设施齐全，满足居住需求，23点门禁、早六点半开门,"{""lat"": 23.5590, ""lng"": 113.7590}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼29号,宿舍,学生居住的宿舍楼，有住宿床位和配套生活设施，23点门禁、早六点半开门,"{""lat"": 23.5585, ""lng"": 113.7585}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼30号,宿舍,为学生提供住宿空间，设施完善，保障居住生活，23点门禁、早六点半开门,"{""lat"": 23.5580, ""lng"": 113.7580}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼31号,宿舍,学生住宿区域，具备基本生活设施，方便学生日常，23点门禁、早六点半开门,"{""lat"": 23.5575, ""lng"": 113.7575}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼32号,宿舍,学生宿舍楼，提供住宿床位与生活设施，满足需求，23点门禁、早六点半开门,"{""lat"": 23.5570, ""lng"": 113.7570}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼33号,宿舍,供学生住宿，有合理住宿布局和生活设施，23点门禁、早六点半开门,"{""lat"": 23.5565, ""lng"": 113.7565}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼34号,宿舍,学生住宿场所，具备基本生活条件，保障居住，23点门禁、早六点半开门,"{""lat"": 23.5560, ""lng"": 113.7560}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
东学楼35号,宿舍,用于学生住宿，内部生活设施齐全，满足居住需求，23点门禁、早六点半开门,"{""lat"": 23.5555, ""lng"": 113.7555}",校园东区,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼1号,宿舍,学生住宿的宿舍楼，有住宿床位及生活配套设施，23点门禁、早六点半开门,"{""lat"": 23.5550, ""lng"": 113.7550}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼2号,宿舍,为学生提供住宿空间，设施完备，方便生活，23点门禁、早六点半开门,"{""lat"": 23.5545, ""lng"": 113.7545}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼3号,宿舍,学生住宿区域，保障居住生活，有基本生活设施，23点门禁、早六点半开门,"{""lat"": 23.5540, ""lng"": 113.7540}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
聚贤楼4号,宿舍,学生宿舍楼，具备住宿所需设施，满足住宿需求，23点门禁、早六点半开门,"{""lat"": 23.5535, ""lng"": 113.7535}",校园相应区域,24小时开放（住宿使用，23:00-6:30门禁限制出入 ）
